"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"13:51:19.6098131","Notepad.exe","9928","CreateFile","C:\ransomware_test\report2.docx","SUCCESS","Desired Access: Read Attributes, Delete, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6098531","Notepad.exe","9928","QueryAttributeTagFile","C:\ransomware_test\report2.docx","SUCCESS","Attributes: A, ReparseTag: 0x0"
"13:51:19.6098652","Notepad.exe","9928","QueryBasicInformationFile","C:\ransomware_test\report2.docx","SUCCESS","CreationTime: 14-07-2026 15:14:19, LastAccessTime: 15-07-2026 13:51:19, LastWriteTime: 15-07-2026 13:51:19, ChangeTime: 15-07-2026 13:51:19, FileAttributes: A"
"13:51:19.6099338","Notepad.exe","9928","CreateFile","C:\ransomware_test","SUCCESS","Desired Access: Write Data/Add File, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6100039","Notepad.exe","9928","SetRenameInformationFile","C:\ransomware_test\report2.docx","SUCCESS","ReplaceIfExists: True, FileName: C:\ransomware_test\report2.docx.encrypted"
"13:51:19.6101174","Notepad.exe","9928","CloseFile","C:\ransomware_test","SUCCESS",""
"13:51:19.6101582","Notepad.exe","9928","CloseFile","C:\ransomware_test\report2.docx.encrypted","SUCCESS",""
"13:51:19.6106751","Notepad.exe","9928","CreateFile","C:\ransomware_test\report3.docx","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6110578","Notepad.exe","9928","ReadFile","C:\ransomware_test\report3.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6111077","Notepad.exe","9928","ReadFile","C:\ransomware_test\report3.docx","SUCCESS","Offset: 0, Length: 10, I/O Flags: Non-cached, Paging I/O, Priority: Normal"
"13:51:19.6111839","Notepad.exe","9928","ReadFile","C:\ransomware_test\report3.docx","END OF FILE","Offset: 10, Length: 4096"
"13:51:19.6112046","Notepad.exe","9928","CloseFile","C:\ransomware_test\report3.docx","SUCCESS",""
"13:51:19.6113207","Notepad.exe","9928","CreateFile","C:\ransomware_test\report3.docx","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Overwritten"
"13:51:19.6114716","Notepad.exe","9928","WriteFile","C:\ransomware_test\report3.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6115241","Notepad.exe","9928","CloseFile","C:\ransomware_test\report3.docx","SUCCESS",""
"13:51:19.6116982","Notepad.exe","9928","CreateFile","C:\ransomware_test\report3.docx","SUCCESS","Desired Access: Read Attributes, Delete, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6117471","Notepad.exe","9928","QueryAttributeTagFile","C:\ransomware_test\report3.docx","SUCCESS","Attributes: A, ReparseTag: 0x0"
"13:51:19.6117587","Notepad.exe","9928","QueryBasicInformationFile","C:\ransomware_test\report3.docx","SUCCESS","CreationTime: 14-07-2026 15:14:19, LastAccessTime: 15-07-2026 13:51:19, LastWriteTime: 15-07-2026 13:51:19, ChangeTime: 15-07-2026 13:51:19, FileAttributes: A"
"13:51:19.6118294","Notepad.exe","9928","CreateFile","C:\ransomware_test","SUCCESS","Desired Access: Write Data/Add File, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6118927","Notepad.exe","9928","SetRenameInformationFile","C:\ransomware_test\report3.docx","SUCCESS","ReplaceIfExists: True, FileName: C:\ransomware_test\report3.docx.encrypted"
"13:51:19.6120250","Notepad.exe","9928","CloseFile","C:\ransomware_test","SUCCESS",""
"13:51:19.6120673","Notepad.exe","9928","CloseFile","C:\ransomware_test\report3.docx.encrypted","SUCCESS",""
"13:51:19.6122123","Notepad.exe","9928","CreateFile","C:\ransomware_test\report4.docx","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6122825","Notepad.exe","9928","ReadFile","C:\ransomware_test\report4.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6123216","Notepad.exe","9928","ReadFile","C:\ransomware_test\report4.docx","SUCCESS","Offset: 0, Length: 10, I/O Flags: Non-cached, Paging I/O, Priority: Normal"
"13:51:19.6123819","Notepad.exe","9928","ReadFile","C:\ransomware_test\report4.docx","END OF FILE","Offset: 10, Length: 4096"
"13:51:19.6123918","Notepad.exe","9928","CloseFile","C:\ransomware_test\report4.docx","SUCCESS",""
"13:51:19.6125002","Notepad.exe","9928","CreateFile","C:\ransomware_test\report4.docx","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Overwritten"
"13:51:19.6126106","Notepad.exe","9928","WriteFile","C:\ransomware_test\report4.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6126485","Notepad.exe","9928","CloseFile","C:\ransomware_test\report4.docx","SUCCESS",""
"13:51:19.6130129","Notepad.exe","9928","CreateFile","C:\ransomware_test\report4.docx","SUCCESS","Desired Access: Read Attributes, Delete, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6130562","Notepad.exe","9928","QueryAttributeTagFile","C:\ransomware_test\report4.docx","SUCCESS","Attributes: A, ReparseTag: 0x0"
"13:51:19.6130667","Notepad.exe","9928","QueryBasicInformationFile","C:\ransomware_test\report4.docx","SUCCESS","CreationTime: 14-07-2026 15:14:19, LastAccessTime: 15-07-2026 13:51:19, LastWriteTime: 15-07-2026 13:51:19, ChangeTime: 15-07-2026 13:51:19, FileAttributes: A"
"13:51:19.6131359","Notepad.exe","9928","CreateFile","C:\ransomware_test","SUCCESS","Desired Access: Write Data/Add File, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6131931","Notepad.exe","9928","SetRenameInformationFile","C:\ransomware_test\report4.docx","SUCCESS","ReplaceIfExists: True, FileName: C:\ransomware_test\report4.docx.encrypted"
"13:51:19.6133229","Notepad.exe","9928","CloseFile","C:\ransomware_test","SUCCESS",""
"13:51:19.6133661","Notepad.exe","9928","CloseFile","C:\ransomware_test\report4.docx.encrypted","SUCCESS",""
"13:51:19.6134967","Notepad.exe","9928","CreateFile","C:\ransomware_test\report5.docx","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6135471","Notepad.exe","9928","ReadFile","C:\ransomware_test\report5.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6135832","Notepad.exe","9928","ReadFile","C:\ransomware_test\report5.docx","SUCCESS","Offset: 0, Length: 10, I/O Flags: Non-cached, Paging I/O, Priority: Normal"
"13:51:19.6136402","Notepad.exe","9928","ReadFile","C:\ransomware_test\report5.docx","END OF FILE","Offset: 10, Length: 4096"
"13:51:19.6136511","Notepad.exe","9928","CloseFile","C:\ransomware_test\report5.docx","SUCCESS",""
"13:51:19.6137491","Notepad.exe","9928","CreateFile","C:\ransomware_test\report5.docx","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Overwritten"
"13:51:19.6142386","Notepad.exe","9928","WriteFile","C:\ransomware_test\report5.docx","SUCCESS","Offset: 0, Length: 10, Priority: Normal"
"13:51:19.6142902","Notepad.exe","9928","CloseFile","C:\ransomware_test\report5.docx","SUCCESS",""
"13:51:19.6144655","Notepad.exe","9928","CreateFile","C:\ransomware_test\report5.docx","SUCCESS","Desired Access: Read Attributes, Delete, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6145782","Notepad.exe","9928","QueryAttributeTagFile","C:\ransomware_test\report5.docx","SUCCESS","Attributes: A, ReparseTag: 0x0"
"13:51:19.6145886","Notepad.exe","9928","QueryBasicInformationFile","C:\ransomware_test\report5.docx","SUCCESS","CreationTime: 14-07-2026 15:14:19, LastAccessTime: 15-07-2026 13:51:19, LastWriteTime: 15-07-2026 13:51:19, ChangeTime: 15-07-2026 13:51:19, FileAttributes: A"
"13:51:19.6146592","Notepad.exe","9928","CreateFile","C:\ransomware_test","SUCCESS","Desired Access: Write Data/Add File, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"13:51:19.6147192","Notepad.exe","9928","SetRenameInformationFile","C:\ransomware_test\report5.docx","SUCCESS","ReplaceIfExists: True, FileName: C:\ransomware_test\report5.docx.encrypted"
"13:51:19.6148373","Notepad.exe","9928","CloseFile","C:\ransomware_test","SUCCESS",""
"13:51:19.6148799","Notepad.exe","9928","CloseFile","C:\ransomware_test\report5.docx.encrypted","SUCCESS",""
"13:51:19.6149379","Notepad.exe","9928","QueryDirectory","C:\ransomware_test","NO MORE FILES","FileInformationClass: FileFullDirectoryInformation"
"13:51:19.6149512","Notepad.exe","9928","CloseFile","C:\ransomware_test","SUCCESS",""
"13:51:19.6150652","Notepad.exe","9928","CreateFile","C:\ransomware_test\README_RANSOM.txt","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Created"
"13:51:19.6152516","Notepad.exe","9928","WriteFile","C:\ransomware_test\README_RANSOM.txt","SUCCESS","Offset: 0, Length: 49, Priority: Normal"
"13:51:19.6153142","Notepad.exe","9928","CloseFile","C:\ransomware_test\README_RANSOM.txt","SUCCESS",""
"13:51:19.6168025","Notepad.exe","9928","Thread Exit","","SUCCESS","Thread ID: 7640, User Time: 0.0000000, Kernel Time: 0.0312500"
"13:51:55.4935783","Notepad.exe","9928","Thread Exit","","SUCCESS","Thread ID: 9956, User Time: 0.0156250, Kernel Time: 0.0156250"
"13:51:56.4983071","Notepad.exe","9928","Thread Create","","SUCCESS","Thread ID: 9776"
"13:52:09.4861054","Notepad.exe","9928","Thread Exit","","SUCCESS","Thread ID: 9952, User Time: 0.0312500, Kernel Time: 0.0156250"
"13:52:09.4870979","Notepad.exe","9928","Thread Exit","","SUCCESS","Thread ID: 9988, User Time: 0.0000000, Kernel Time: 0.0000000"
